symbol,name,sector,current_price,market_cap,sentiment_score,time_series_score,fundamental_score,total_score,recommendation,pe_ratio,pb_ratio,debt_to_equity,roe,profit_margin,revenue_growth,dividend_yield
DIVISLAB.NS,DIVI S LABORATORIES LTD,Healthcare,6390.0,1696344178688,0.8,0.667,0.562,0.648,Buy,68.094635,10.999187,0.584,17.061001,24.778,16.1,47.0
TECHM.NS,TECH MAHINDRA LIMITED,Technology,1616.3,1431666819072,0.6,0.889,0.55,0.647,Buy,32.031315,5.207454,6.992,16.267,8.303001,5.1,279.0
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Communication Services,2096.6,12770557820928,0.6,0.778,0.588,0.638,Buy,32.652237,10.314209,129.719,33.018002,19.805,25.7,76.0
HEROMOTOCO.NS,HERO MOTOCORP LIMITED,Consumer Cyclical,5572.0,1114854785024,0.5,0.5,0.763,0.631,Buy,21.121262,5.3082137,3.395,26.332,12.526000000000002,16.6,231.0
BRITANNIA.NS,BRITANNIA INDUSTRIES LTD,Consumer Defensive,6020.0,1450426499072,0.5,1.0,0.5,0.625,Buy,62.760635,38.839462,58.424,66.230005,12.570999999999998,3.6999999999999997,124.0
LTIM.NS,LTIMINDTREE LIMITED,Technology,6066.5,1797801902080,0.65,0.556,0.637,0.62,Buy,36.95255,7.6816807,10.164,21.789,12.275,10.2,111.00000000000001
RELIANCE.NS,RELIANCE INDUSTRIES LTD,Energy,1548.0,20947685867520,0.7,0.667,0.538,0.611,Buy,25.197786,2.3882923,35.651,9.717,8.314,10.0,35.0
ADANIPORTS.NS,ADANI PORT & SEZ LTD,Industrials,1462.7,3370339270656,0.65,0.444,0.675,0.611,Buy,26.440708,4.711335,81.556,18.591999,34.416000000000004,29.7,47.0
ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED,Basic Materials,11776.0,3463727546368,0.65,0.75,0.513,0.606,Buy,47.54714,4.8087115,33.192,10.519,8.931000000000001,25.4,66.0
KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,Financial Services,2160.6,4296900083712,0.75,0.7,0.484,0.605,Buy,23.110495,2.5568779,,11.78,25.535999999999998,-12.4,12.0
DRREDDY.NS,DR. REDDY S LABORATORIES,Healthcare,1262.2,1050853638144,0.65,0.375,0.675,0.594,Hold,17.949373,2.9311972,16.167,17.36,17.132998999999998,9.8,63.0
TCS.NS,TATA CONSULTANCY SERV LT,Technology,3253.9,11772894380032,0.6,0.444,0.662,0.592,Hold,23.789297,11.06321,10.173,47.355998,19.186,2.4,189.0
ASIANPAINT.NS,ASIAN PAINTS LIMITED,Basic Materials,2740.5,2627110699008,0.75,0.556,0.5,0.577,Hold,67.41697,13.411471,17.609,20.392,11.3479994,6.3,91.0
TITAN.NS,TITAN COMPANY LIMITED,Consumer Cyclical,4014.8,3561309339648,0.7,0.818,0.388,0.573,Hold,85.95162,27.807755,223.018,36.638999999999996,6.081,28.799999999999997,28.000000000000004
APOLLOHOSP.NS,APOLLO HOSPITALS ENTER. L,Healthcare,7119.0,1023602982912,0.65,0.75,0.438,0.569,Hold,61.407745,11.256172,83.606,19.794999999999998,7.185999999999999,12.8,28.000000000000004
ITC.NS,ITC LTD,Consumer Defensive,402.2,5039147450368,0.55,0.333,0.688,0.565,Hold,24.934906,7.092599,0.507,27.811000000000003,44.597998,-6.0,388.0
HCLTECH.NS,HCL TECHNOLOGIES LTD,Technology,1649.0,4467644694528,0.55,0.375,0.637,0.55,Hold,26.33344,6.191675,9.495,24.326,13.889000000000001,5.800000000000001,289.0
AXISBANK.NS,AXIS BANK LIMITED,Financial Services,1227.6,3811686744064,0.6,0.375,0.594,0.541,Hold,14.7211895,1.9083922,,14.004,34.296,-6.0,8.0
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Consumer Defensive,2288.8,5377851129856,0.525,0.556,0.537,0.539,Hold,49.338223,11.036585,3.611,21.819,16.950001,2.0,188.0
POWERGRID.NS,POWER GRID CORP. LTD.,Utilities,261.75,2434433024000,0.842,0.222,0.525,0.528,Hold,16.908915,2.4570312,141.186,15.918,32.917,1.7999999999999998,509.0
ICICIBANK.NS,ICICI BANK LTD.,Financial Services,1345.5,9621230059520,0.55,0.25,0.641,0.52,Hold,18.21443,2.8648994,,17.599002,27.915,7.9,81.0
LT.NS,LARSEN & TOUBRO LTD.,Industrials,4052.0,5573854101504,0.6,0.667,0.4,0.517,Hold,34.053284,5.498047,111.847,16.521,5.9520002000000005,10.7,84.0
GRASIM.NS,GRASIM INDUSTRIES LTD,Basic Materials,2821.9,1915095089152,0.65,0.75,0.325,0.512,Hold,44.313755,1.9213943,126.634,5.8280002,2.686,18.9,35.0
JSWSTEEL.NS,JSW STEEL LIMITED,Basic Materials,1107.7,2705609457664,0.75,0.6,0.338,0.506,Hold,44.991875,3.2549064,118.74,7.278999999999999,3.454,13.8,26.0
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,Financial Services,991.7,6163549126656,0.4,0.5,0.55,0.5,Hold,33.731293,5.967338,310.294,19.09,45.033001999999996,20.599999999999998,44.0
M&M.NS,MAHINDRA & MAHINDRA LTD,Consumer Cyclical,3629.0,4354968125440,0.55,0.4,0.5,0.488,Hold,28.699091,4.890875,132.29,17.235,8.004,21.2,70.0
ONGC.NS,OIL AND NATURAL GAS CORP.,Energy,237.17,2984287666176,0.4,0.556,0.487,0.483,Hold,8.147372,0.810591,43.805,10.977,5.582,-0.3,778.0
HDFCBANK.NS,HDFC BANK LTD,Financial Services,989.4,15221462663168,0.6,0.333,0.484,0.475,Hold,22.614859,2.7942917,,10.8430006,26.962999,-7.199999999999999,111.00000000000001
SUNPHARMA.NS,SUN PHARMACEUTICAL IND L,Healthcare,1720.1,4127096045568,0.55,0.25,0.55,0.475,Hold,39.379578,5.301391,6.675,14.216000000000001,19.012,8.9,93.0
NTPC.NS,NTPC LTD,Utilities,325.0,3151416524800,0.55,0.375,0.487,0.475,Hold,17.407606,1.6395842,127.753,13.104,12.718001000000001,0.2,342.0
BAJAJFINSV.NS,BAJAJ FINSERV LTD.,Financial Services,2003.1,3198238851072,0.55,0.455,0.425,0.464,Hold,33.429573,4.167915,237.537,15.100999000000002,6.9510005,11.1,5.0
ADANIENT.NS,ADANI ENTERPRISES LIMITED,Energy,2222.0,2872340119552,0.916,0.333,0.3,0.462,Hold,34.242565,4.9864235,177.767,15.823,8.424,-6.0,6.0
SBILIFE.NS,SBI LIFE INSURANCE CO LTD,Financial Services,2015.4,2021103239168,0.7,0.6,0.125,0.387,Weak,82.49693,11.050796,,14.199,2.359,-42.8,13.0
HDFCLIFE.NS,HDFC LIFE INS CO LTD,Financial Services,744.0,1604864573440,0.6,0.444,0.25,0.386,Weak,84.9315,9.474931,13.88,11.649,2.062,-27.500000000000004,28.000000000000004
INDUSINDBK.NS,INDUSIND BANK LIMITED,Financial Services,841.85,655865085952,0.6,0.5,0.167,0.358,Weak,,1.0077003,,-1.161,-4.8860002,-40.0,
TATAMOTORS.NS,N/A,N/A,,0,0.567,0.5,0.0,0.267,Avoid,,,,,,,
